도서관명,구/군,이미지경로,이미지경로2,출처URL,공공누리 유형,출처
북조아 작은 도서관,남구,,,,,
행복한 작은도서관,남구,,,,,
캐슬리안북카페,남구,,,,,
책나루작은도서관,남구,,,,,
참사랑도서관,남구,,,,,
작은여울 도서관,남구,,,,,
작은도서관 소풍,남구,,,,,
작은나무숲 작은도서관,남구,,,,,
작은나무 큰숲도서관,남구,,,,,
유엔평화기념관 작은도서관,남구,https://tong.visitkorea.or.kr/cms/resource/03/3514903_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/00/3514900_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
용호 꿈꾸는 도서관,남구,,,,,
올맘도서관,남구,,,,,
소담북카페,강서구,,,,,
대방2차Book적Book적작은도서관,강서구,,,,,
지사꿈꾸는작은도서관,강서구,,,,,
동행작은도서관,강서구,,,,,
에일린의뜰작은도서관,강서구,,,,,
솔마레작은도서관,강서구,,,,,
명지한신휴플러스작은도서관,강서구,,,,,
책나무작은도서관,강서구,,,,,
에디슨타운책벌레작은도서관,강서구,,,,,
아인슈타인타운책벌레작은도서관,강서구,,,,,
링컨타운책벌레작은도서관,강서구,,,,,
극동스타클래스작은도서관,강서구,,,,,
아이꿈작은도서관,강서구,,,,,
신호작은도서관,강서구,,,,,
지사도서관,강서구,,,,,
강서기적의도서관,강서구,,,,,
강서도서관,강서구,,,,,
안락누리도서관,동래구,,,,,
동래읍성도서관,동래구,,,,,
수영구어린이도서관,수영구,,,,,
망미도서관,수영구,,,,,
수영구도서관,수영구,,,,,
동구어린이영어도서관,동구,,,,,
동구도서관,동구,http://tong.visitkorea.or.kr/cms/resource/48/3343348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/3343344_image2_1.jpg,,제3유형,출처 : ⓒ한국관광콘텐츠랩
새날도서관,강서구,,,,,
미라클도서관,강서구,,,,,
세이지작은도서관,강서구,,,,,
호반써밋명지국제작은도서관,강서구,,,,,
지사자원봉사캠프작은도서관,강서구,,,,,
클래시안작은도서관,강서구,,,,,
도란도란작은도서관,강서구,,,,,
꿈마루작은도서관,강서구,,,,,
더힐시그니처작은도서관,강서구,,,,,
금강3차작은도서관,강서구,,,,,
협성숲속의작은도서관,강서구,,,,,
중흥에듀오션작은도서관,강서구,,,,,
명지두산작은도서관,강서구,,,,,
명지2차금강작은도서관,강서구,,,,,
휴포레작은도서관,강서구,,,,,
호반베르디움작은도서관,강서구,,,,,
